Tensao,Derivada,Bateria
4.034625,0.0037875,0
4.032375,0.0028,0
4.03025,0.0025,0
4.028375,0.0023125,0
4.026375,0.0022125,0
4.024375,0.00215,0
4.022375,0.0021125,0
4.020625,0.0020375,0
4.0185,0.0020125,0
4.016875,0.001975,0
4.01525,0.0019375,0
4.013125,0.001925,0
4.011375,0.0018875,0
4.0095,0.0018875,0
4.007625,0.001875,0
4.006125,0.001825,0
4.00425,0.0018125,0
4.002625,0.0018,0
4.00075,0.001775,0
3.999,0.0017875,0
3.99725,0.0018,0
3.995625,0.00175,0
3.993875,0.00175,0
3.992375,0.0017125,0
3.99075,0.0016875,0
3.988875,0.001725,0
3.987375,0.0016875,0
3.985625,0.0017,0
3.984,0.001675,0
3.98225,0.001675,0
3.98075,0.00165,0
3.97925,0.0016375,0
3.977625,0.001625,0
3.975875,0.00165,0
3.974375,0.0016375,0
3.972875,0.0016,0
3.971375,0.0016,0
3.969625,0.0016,0
3.96825,0.001575,0
3.966625,0.0015625,0
3.965,0.001575,0
3.963625,0.0015625,0
3.962,0.0015625,0
3.960875,0.0015,0
3.959125,0.001525,0
3.957625,0.001525,0
3.956125,0.001525,0
3.954625,0.0015,0
3.953,0.001525,0
3.95175,0.0014875,0
3.95025,0.001475,0
3.948375,0.001525,0
3.94725,0.001475,0
3.94575,0.0015125,0
3.94425,0.0014875,0
3.943,0.0014625,0
3.9415,0.0014625,0
3.94,0.0014625,0
3.93875,0.001425,0
3.937,0.001475,0
3.93575,0.00145,0
3.9345,0.0013875,0
3.933,0.001425,0
3.931625,0.0014125,0
3.930375,0.0013875,0
3.928625,0.0014375,0
3.927625,0.0013875,0
3.925875,0.0014125,0
3.924375,0.0014375,0
3.923125,0.0013875,0
3.921625,0.0014125,0
3.92025,0.001425,0
3.918625,0.0014375,0
3.917375,0.001425,0
3.915875,0.00145,0
3.9145,0.0014125,0
3.913,0.0014625,0
3.911375,0.00145,0
3.909875,0.00145,0
3.9085,0.0014625,0
3.906625,0.0015,0
3.905,0.001525,0
3.903625,0.0015,0
3.901875,0.00155,0
3.900375,0.00155,0
3.898875,0.0015625,0
3.897,0.0016,0
3.89525,0.0016125,0
3.89375,0.0016125,0
3.89225,0.001625,0
3.8905,0.0016125,0
3.888875,0.0016125,0
3.887375,0.001625,0
3.885625,0.001625,0
3.884,0.0016375,0
3.88225,0.0016625,0
3.8805,0.00165,0
3.879125,0.0016125,0
3.877375,0.0016375,0
3.875625,0.0016625,0
3.874375,0.0016125,0
3.8725,0.0016375,0
3.87125,0.0016125,0
3.869625,0.0016,0
3.868,0.0016,0
3.8665,0.001575,0
3.865,0.00155,0
3.863375,0.001575,0
3.861875,0.00155,0
3.8605,0.0015125,0
3.859125,0.001525,0
3.857875,0.0014625,0
3.85625,0.0015,0
3.85525,0.0014375,0
3.85375,0.001425,0
3.85225,0.001425,0
3.851,0.0014,0
3.84975,0.0013625,0
3.848375,0.00135,0
3.847375,0.0013125,0
3.846125,0.0013,0
3.84475,0.0013125,0
3.8435,0.001275,0
3.842125,0.0013125,0
3.841375,0.0012375,0
3.84,0.001225,0
3.838625,0.0012375,0
3.8375,0.001225,0
3.836375,0.0012,0
3.835375,0.0012,0
3.83425,0.0011875,0
3.833,0.001175,0
3.832,0.00115,0
3.83075,0.0011375,0
3.8295,0.0011875,0
3.8285,0.00115,0
3.8275,0.0011125,0
3.826125,0.0011375,0
3.825125,0.001125,0
3.823875,0.00115,0
3.82275,0.00115,0
3.82175,0.001125,0
3.820375,0.0011625,0
3.819375,0.0011375,0
3.818125,0.0011375,0
3.817125,0.0011375,0
3.816,0.00115,0
3.815,0.0011125,0
3.814,0.0011125,0
3.81275,0.0011125,0
3.811625,0.0011125,0
3.8105,0.001125,0
3.8095,0.0010875,0
3.80825,0.0011125,0
3.80725,0.0010875,0
3.805875,0.001125,0
3.805,0.0011,0
3.80375,0.001125,0
3.802875,0.0011125,0
3.801875,0.0010875,0
3.800625,0.0011,0
3.799625,0.0010875,0
3.798375,0.0011125,0
3.79725,0.0011,0
3.79625,0.0011,0
3.795125,0.001075,0
3.794125,0.0010875,0
3.792875,0.0010875,0
3.791625,0.001125,0
3.79075,0.0011125,0
3.78975,0.0010875,0
3.7885,0.0011125,0
3.787625,0.001075,0
3.78625,0.0011,0
3.785125,0.0011125,0
3.784125,0.0011,0
3.783,0.0011125,0
3.78175,0.0011125,0
3.78075,0.0010875,0
3.77975,0.0011,0
3.77875,0.0011,0
3.7775,0.0011,0
3.7765,0.0011125,0
3.775375,0.0010875,0
3.77425,0.0010875,0
3.773,0.0011125,0
3.772375,0.0010625,0
3.77075,0.0011,0
3.769875,0.0010875,0
3.768625,0.0011125,0
3.7675,0.001125,0
3.76675,0.001075,0
3.76575,0.001075,0
3.76425,0.0011125,0
3.7635,0.001075,0
3.76225,0.001075,0
3.76125,0.0011125,0
3.760125,0.0010625,0
3.759125,0.001075,0
3.758,0.0010625,0
3.757,0.00105,0
3.755875,0.0010875,0
3.755,0.001075,0
3.75375,0.00105,0
3.75275,0.001075,0
3.75175,0.00105,0
3.7505,0.001075,0
3.7495,0.0010625,0
3.748625,0.00105,0
3.7475,0.00105,0
3.746375,0.0010625,0
3.7455,0.0010375,0
3.744125,0.0010875,0
3.74325,0.00105,0
3.74225,0.00105,0
3.74125,0.00105,0
3.740375,0.0010125,0
3.73925,0.001025,0
3.738125,0.00105,0
3.737375,0.0010125,0
3.7365,0.0009875,0
3.73525,0.001025,0
3.734375,0.000975,0
3.73325,0.001,0
3.732375,0.0009875,0
3.731375,0.0009875,0
3.73025,0.0010125,0
3.72925,0.001,0
3.728625,0.00095,0
3.7275,0.0009875,0
3.7265,0.001,0
3.72575,0.00095,0
3.72475,0.0009625,0
3.723625,0.0009625,0
3.722625,0.000975,0
3.721875,0.00095,0
3.721,0.000925,0
3.720125,0.0009125,0
3.719125,0.00095,0
3.718125,0.0009375,0
3.717375,0.0009125,0
3.7165,0.000925,0
3.715875,0.0008875,0
3.71475,0.0008875,0
