Tensao,Derivada,2aDerivada,Bateria
4.01525,0.019 ,-0.0185,0
4.013125,0.019 ,-0.00875,0
4.011375,0.019 ,-0.006125,0
4.0095,0.019 ,-0.00425,0
4.007625,0.019 ,-0.003375,0
4.006125,0.018 ,-0.00325,0
4.00425,0.018 ,-0.003,0
4.002625,0.018 ,-0.002375,0
4.00075,0.018 ,-0.002375,0
3.999,0.018 ,-0.001875,0
3.99725,0.018 ,-0.001375,0
3.995625,0.018 ,-0.00175,0
3.993875,0.018 ,-0.001375,0
3.992375,0.017 ,-0.00175,0
3.99075,0.017 ,-0.001875,0
3.988875,0.017 ,-0.001,0
3.987375,0.017 ,-0.00125,0
3.985625,0.017 ,-0.001,0
3.984,0.017 ,-0.001,0
3.98225,0.017 ,-0.001125,0
3.98075,0.017 ,-0.0015,0
3.97925,0.016 ,-0.001125,0
3.977625,0.016 ,-0.00125,0
3.975875,0.016 ,-0.000625,0
3.974375,0.016 ,-0.0005,0
3.972875,0.016 ,-0.00125,0
3.971375,0.016 ,-0.000875,0
3.969625,0.016 ,-0.001,0
3.96825,0.016 ,-0.001,0
3.966625,0.016 ,-0.001125,0
3.965,0.016 ,-0.00075,0
3.963625,0.016 ,-0.00075,0
3.962,0.016 ,-0.000625,0
3.960875,0.015 ,-0.0015,0
3.959125,0.015 ,-0.001125,0
3.957625,0.015 ,-0.00075,0
3.956125,0.015 ,-0.00075,0
3.954625,0.015 ,-0.001,0
3.953,0.015 ,-0.0005,0
3.95175,0.015 ,-0.00075,0
3.95025,0.015 ,-0.001,0
3.948375,0.015 ,-0.000375,0
3.94725,0.015 ,-0.000875,0
3.94575,0.015 ,0.000125,0
3.94425,0.015 ,-0.000375,0
3.943,0.015 ,-0.000625,0
3.9415,0.015 ,-0.000625,0
3.94,0.015 ,-0.000375,0
3.93875,0.014 ,-0.001,0
3.937,0.015 ,-0.000125,0
3.93575,0.014 ,-0.00025,0
3.9345,0.014 ,-0.001375,0
3.933,0.014 ,-0.0005,0
3.931625,0.014 ,-0.001,0
3.930375,0.014 ,-0.001,0
3.928625,0.014 ,-0.00025,0
3.927625,0.014 ,-0.00075,0
3.925875,0.014 ,-0.0005,0
3.924375,0.014 ,0.000125,0
3.923125,0.014 ,-0.000875,0
3.921625,0.014 ,-0.000375,0
3.92025,0.014 ,0.000375,0
3.918625,0.014 ,0.000125,0
3.917375,0.014 ,0.000125,0
3.915875,0.014 ,0.000625,0
3.9145,0.014 ,-0.00025,0
3.913,0.015 ,0.00075,0
