Tensao,Derivada,Derivada2a,Bateria
4.0153,0.0194,-0.0185,0
4.0131,0.0192,-0.0088,0
4.0114,0.0189,-0.0061,0
4.0095,0.0189,-0.0042,0
4.0076,0.0188,-0.0034,0
4.0061,0.0182,-0.0033,0
4.0043,0.0181,-0.0030,0
4.0026,0.0180,-0.0024,0
4.0008,0.0177,-0.0024,0
3.9990,0.0179,-0.0019,0
3.9973,0.0180,-0.0014,0
3.9956,0.0175,-0.0017,0
3.9939,0.0175,-0.0014,0
3.9924,0.0171,-0.0018,0
3.9908,0.0169,-0.0019,0
3.9889,0.0172,-0.0010,0
3.9874,0.0169,-0.0013,0
3.9856,0.0170,-0.0010,0
3.9840,0.0168,-0.0010,0
3.9823,0.0168,-0.0011,0
3.9808,0.0165,-0.0015,0
3.9793,0.0164,-0.0011,0
3.9776,0.0163,-0.0012,0
3.9759,0.0165,-0.0006,0
3.9744,0.0164,-0.0005,0
3.9729,0.0160,-0.0012,0
3.9714,0.0160,-0.0009,0
3.9696,0.0160,-0.0010,0
3.9683,0.0157,-0.0010,0
3.9666,0.0156,-0.0011,0
3.9650,0.0157,-0.0008,0
3.9636,0.0156,-0.0008,0
3.9620,0.0156,-0.0006,0
3.9609,0.0150,-0.0015,0
3.9591,0.0153,-0.0011,0
3.9576,0.0153,-0.0007,0
3.9561,0.0153,-0.0007,0
3.9546,0.0150,-0.0010,0
3.9530,0.0152,-0.0005,0
3.9518,0.0149,-0.0007,0
3.9503,0.0148,-0.0010,0
3.9484,0.0153,-0.0004,0
3.9473,0.0148,-0.0009,0
3.9458,0.0151,0.0001,0
3.9443,0.0149,-0.0004,0
3.9430,0.0146,-0.0006,0
3.9415,0.0146,-0.0006,0
3.9400,0.0146,-0.0004,0
3.9388,0.0143,-0.0010,0
3.9370,0.0147,-0.0001,0
3.9358,0.0145,-0.0003,0
3.9345,0.0139,-0.0014,0
3.9330,0.0142,-0.0005,0
3.9316,0.0141,-0.0010,0
3.9304,0.0139,-0.0010,0
3.9286,0.0144,-0.0002,0
3.9276,0.0139,-0.0007,0
3.9259,0.0141,-0.0005,0
3.9244,0.0144,0.0001,0
3.9231,0.0139,-0.0009,0
3.9216,0.0141,-0.0004,0
3.9203,0.0143,0.0004,0
3.9186,0.0144,0.0001,0
3.9174,0.0143,0.0001,0
3.9159,0.0145,0.0006,0
3.9145,0.0141,-0.0002,0
3.9130,0.0146,0.0007,0
3.9114,0.0145,0.0004,0
3.9099,0.0145,0.0001,0
3.9085,0.0146,0.0007,0
3.9066,0.0150,0.0009,0
3.9050,0.0153,0.0010,0
3.9036,0.0150,0.0006,0
3.9019,0.0155,0.0012,0
3.9004,0.0155,0.0010,0
3.8989,0.0156,0.0015,0
3.8970,0.0160,0.0014,0
3.8953,0.0161,0.0016,0
3.8938,0.0161,0.0016,0
3.8923,0.0163,0.0016,0
3.8905,0.0161,0.0011,0
3.8889,0.0161,0.0009,0
3.8874,0.0162,0.0012,0
3.8856,0.0162,0.0008,0
3.8840,0.0164,0.0009,0
3.8823,0.0166,0.0010,0
3.8805,0.0165,0.0005,0
3.8791,0.0161,0.0000,0
3.8774,0.0164,0.0002,0
3.8756,0.0166,0.0004,0
3.8744,0.0161,0.0000,0
3.8725,0.0164,0.0003,0
3.8713,0.0161,-0.0001,0
3.8696,0.0160,-0.0002,0
3.8680,0.0160,-0.0004,0
3.8665,0.0158,-0.0009,0
3.8650,0.0155,-0.0010,0
3.8634,0.0158,-0.0004,0
3.8619,0.0155,-0.0009,0
3.8605,0.0151,-0.0015,0
3.8591,0.0152,-0.0009,0
3.8579,0.0146,-0.0017,0
3.8563,0.0150,-0.0011,0
3.8553,0.0144,-0.0016,0
3.8538,0.0142,-0.0018,0
3.8523,0.0143,-0.0015,0
3.8510,0.0140,-0.0015,0
3.8498,0.0136,-0.0021,0
3.8484,0.0135,-0.0020,0
3.8474,0.0131,-0.0020,0
3.8461,0.0130,-0.0022,0
3.8448,0.0131,-0.0015,0
